FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,FLIGHT_STATUS,YEAR,MONTH,year,month,DEP_TIME_MINUTES,WHEELS_OFF_MINUTES,ARR_TIME_MINUTES,WHEELS_ON_MINUTES,WHEELS_OFF_elapse,WHEELS_ON_elapse,Year,Quarter,Month,DayofMonth
2019-06-30,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1266,BUF,"Buffalo, NY",ATL,"Atlanta, GA",06:00:00,05:59:00,-1.0,9.0,06:08:00,07:39:00,5.0,758,07:44:00,-14.0,0.0,0.0,118.0,105.0,91.0,712.0,0,2019,6,2019,6,359,368,464,459,9,5,2019,2,6,30
2020-07-24,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5110,GSP,"Greer, SC",CLT,"Charlotte, NC",18:04:00,18:05:00,1.0,33.0,18:38:00,19:02:00,15.0,1904,19:17:00,13.0,0.0,0.0,60.0,72.0,24.0,75.0,1,2020,7,2020,7,1085,1118,1157,1142,33,15,2020,3,7,24
2023-05-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1622,ILM,"Wilmington, NC",ATL,"Atlanta, GA",06:00:00,06:03:00,3.0,23.0,06:26:00,07:31:00,6.0,727,07:37:00,10.0,0.0,0.0,87.0,94.0,65.0,377.0,0,2023,5,2023,5,363,386,457,451,23,6,2023,2,5,19
2019-03-05,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1280,SFO,"San Francisco, CA",DEN,"Denver, CO",11:10:00,11:21:00,11.0,33.0,11:54:00,14:45:00,5.0,1450,14:50:00,0.0,0.0,0.0,160.0,149.0,111.0,967.0,0,2019,3,2019,3,681,714,890,885,33,5,2019,1,3,5
2022-07-18,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1305,BWI,"Baltimore, MD",ATL,"Atlanta, GA",06:30:00,06:29:00,-1.0,16.0,06:45:00,08:10:00,8.0,830,08:18:00,-12.0,0.0,0.0,120.0,109.0,85.0,577.0,0,2022,7,2022,7,389,405,498,490,16,8,2022,3,7,18
2020-01-23,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2921,LGA,"New York, NY",ATL,"Atlanta, GA",09:00:00,08:53:00,-7.0,43.0,09:36:00,11:34:00,8.0,1144,11:42:00,-2.0,0.0,0.0,164.0,169.0,118.0,762.0,0,2020,1,2020,1,533,576,702,694,43,8,2020,1,1,23
2023-03-06,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,659,HOU,"Houston, TX",DEN,"Denver, CO",19:45:00,19:55:00,10.0,9.0,20:04:00,21:06:00,16.0,2120,21:22:00,2.0,0.0,0.0,155.0,147.0,122.0,883.0,0,2023,3,2023,3,1195,1204,1282,1266,9,16,2023,1,3,6
2023-03-01,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1551,SAV,"Savannah, GA",ORD,"Chicago, IL",11:26:00,11:22:00,-4.0,12.0,11:34:00,12:32:00,7.0,1253,12:39:00,-14.0,0.0,0.0,147.0,137.0,118.0,773.0,0,2023,3,2023,3,682,694,759,752,12,7,2023,1,3,1
2019-07-10,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3168,ASE,"Aspen, CO",DFW,"Dallas/Fort Worth, TX",11:08:00,11:31:00,23.0,17.0,11:48:00,14:25:00,9.0,1417,14:34:00,17.0,0.0,0.0,129.0,123.0,97.0,701.0,1,2019,7,2019,7,691,708,874,865,17,9,2019,3,7,10
2019-10-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2022,ONT,"Ontario, CA",DEN,"Denver, CO",06:15:00,06:12:00,-3.0,13.0,06:25:00,09:12:00,6.0,930,09:18:00,-12.0,0.0,0.0,135.0,126.0,107.0,819.0,0,2019,10,2019,10,372,385,558,552,13,6,2019,4,10,22
2021-06-27,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1301,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",12:35:00,12:36:00,1.0,14.0,12:50:00,13:44:00,7.0,1432,13:51:00,-41.0,0.0,0.0,297.0,255.0,234.0,1947.0,0,2021,6,2021,6,756,770,831,824,14,7,2021,2,6,27
2020-03-11,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,405,DEN,"Denver, CO",LAX,"Los Angeles, CA",07:33:00,07:21:00,-12.0,11.0,07:32:00,08:46:00,21.0,920,09:07:00,-13.0,0.0,0.0,167.0,166.0,134.0,862.0,0,2020,3,2020,3,441,452,547,526,11,21,2020,1,3,11
2023-04-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2992,LAS,"Las Vegas, NV",DEN,"Denver, CO",21:55:00,22:45:00,50.0,13.0,22:58:00,01:14:00,5.0,40,01:19:00,39.0,0.0,0.0,105.0,94.0,76.0,628.0,1,2023,4,2023,4,1365,1378,79,74,13,5,2023,2,4,2
2021-10-16,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,375,JAX,"Jacksonville, FL",DFW,"Dallas/Fort Worth, TX",08:00:00,08:00:00,0.0,11.0,08:11:00,09:24:00,14.0,948,09:38:00,-10.0,0.0,0.0,168.0,158.0,133.0,918.0,0,2021,10,2021,10,480,491,578,564,11,14,2021,4,10,16
2021-05-23,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,591,BIS,"Bismarck/Mandan, ND",DEN,"Denver, CO",18:43:00,19:34:00,51.0,12.0,19:46:00,20:46:00,9.0,1930,20:55:00,85.0,0.0,0.0,107.0,141.0,120.0,516.0,1,2021,5,2021,5,1174,1186,1255,1246,12,9,2021,2,5,23
2021-09-20,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2305,SNA,"Santa Ana, CA",DEN,"Denver, CO",16:35:00,16:27:00,-8.0,9.0,16:36:00,19:23:00,15.0,1952,19:38:00,-14.0,0.0,0.0,137.0,131.0,107.0,846.0,0,2021,9,2021,9,987,996,1178,1163,9,15,2021,3,9,20
2020-08-20,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5206,EWN,"New Bern/Morehead/Beaufort, NC",CLT,"Charlotte, NC",11:00:00,10:46:00,-14.0,14.0,11:00:00,11:46:00,5.0,1214,11:51:00,-23.0,0.0,0.0,74.0,65.0,46.0,221.0,0,2020,8,2020,8,646,660,711,706,14,5,2020,3,8,20
2019-09-12,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,692,MCI,"Kansas City, MO",ORD,"Chicago, IL",15:30:00,18:11:00,161.0,18.0,18:29:00,19:24:00,11.0,1705,19:35:00,150.0,0.0,0.0,95.0,84.0,55.0,403.0,1,2019,9,2019,9,1091,1109,1175,1164,18,11,2019,3,9,12
2022-11-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,291,BOI,"Boise, ID",DEN,"Denver, CO",08:10:00,08:04:00,-6.0,36.0,08:40:00,10:13:00,7.0,1010,10:20:00,10.0,0.0,0.0,120.0,136.0,93.0,649.0,0,2022,11,2022,11,484,520,620,613,36,7,2022,4,11,9
2021-10-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,434,AUS,"Austin, TX",CLT,"Charlotte, NC",17:57:00,17:53:00,-4.0,13.0,18:06:00,21:22:00,13.0,2150,21:35:00,-15.0,0.0,0.0,173.0,162.0,136.0,1032.0,0,2021,10,2021,10,1073,1086,1295,1282,13,13,2021,4,10,10
2021-07-17,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5674,SAV,"Savannah, GA",CLT,"Charlotte, NC",07:14:00,07:05:00,-9.0,17.0,07:22:00,08:12:00,9.0,835,08:21:00,-14.0,0.0,0.0,81.0,76.0,50.0,213.0,0,2021,7,2021,7,425,442,501,492,17,9,2021,3,7,17
2023-05-03,Envoy Air,Envoy Air: MQ,MQ,20398,3786,GJT,"Grand Junction, CO",DFW,"Dallas/Fort Worth, TX",10:35:00,10:18:00,-17.0,11.0,10:29:00,13:07:00,9.0,1345,13:16:00,-29.0,0.0,0.0,130.0,118.0,98.0,773.0,0,2023,5,2023,5,618,629,796,787,11,9,2023,2,5,3
2021-01-19,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5627,PHF,"Newport News/Williamsburg, VA",CLT,"Charlotte, NC",06:45:00,06:37:00,-8.0,34.0,07:11:00,08:16:00,4.0,825,08:20:00,-5.0,0.0,0.0,100.0,103.0,65.0,282.0,0,2021,1,2021,1,397,431,500,496,34,4,2021,1,1,19
2021-06-04,Envoy Air,Envoy Air: MQ,MQ,20398,3801,HSV,"Huntsville, AL",DFW,"Dallas/Fort Worth, TX",07:05:00,07:10:00,5.0,17.0,07:27:00,09:04:00,16.0,910,09:20:00,10.0,0.0,0.0,125.0,130.0,97.0,603.0,0,2021,6,2021,6,430,447,560,544,17,16,2021,2,6,4
2023-04-15,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1844,PBI,"West Palm Beach/Palm Beach, FL",DFW,"Dallas/Fort Worth, TX",19:02:00,19:19:00,17.0,11.0,19:30:00,21:59:00,11.0,2125,22:10:00,45.0,0.0,0.0,203.0,231.0,209.0,1102.0,1,2023,4,2023,4,1159,1170,1330,1319,11,11,2023,2,4,15
2019-12-07,ExpressJet Airlines LLC d/b/a aha!,ExpressJet Airlines LLC d/b/a aha!: EV,EV,20366,4198,SAT,"San Antonio, TX",ORD,"Chicago, IL",07:25:00,07:13:00,-12.0,18.0,07:31:00,09:50:00,6.0,1018,09:56:00,-22.0,0.0,0.0,173.0,163.0,139.0,1041.0,0,2019,12,2019,12,433,451,596,590,18,6,2019,4,12,7
2022-05-08,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5355,CSG,"Columbus, GA",CLT,"Charlotte, NC",07:00:00,06:59:00,-1.0,36.0,07:35:00,08:26:00,10.0,819,08:36:00,17.0,0.0,0.0,79.0,97.0,51.0,295.0,1,2022,5,2022,5,419,455,516,506,36,10,2022,2,5,8
2022-07-06,Envoy Air,Envoy Air: MQ,MQ,20398,4036,MQT,"Marquette, MI",ORD,"Chicago, IL",07:25:00,07:34:00,9.0,9.0,07:43:00,07:41:00,14.0,749,07:55:00,6.0,0.0,0.0,84.0,81.0,58.0,303.0,0,2022,7,2022,7,454,463,475,461,9,14,2022,3,7,6
2020-03-20,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2922,OKC,"Oklahoma City, OK",DFW,"Dallas/Fort Worth, TX",14:29:00,14:21:00,-8.0,32.0,14:53:00,15:37:00,11.0,1535,15:48:00,13.0,0.0,0.0,66.0,87.0,44.0,175.0,1,2020,3,2020,3,861,893,948,937,32,11,2020,1,3,20
2022-04-11,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,278,PHX,"Phoenix, AZ",DEN,"Denver, CO",15:24:00,15:16:00,-8.0,12.0,15:28:00,17:46:00,9.0,1809,17:55:00,-14.0,0.0,0.0,105.0,99.0,78.0,602.0,0,2022,4,2022,4,916,928,1075,1066,12,9,2022,2,4,11
2023-03-17,Envoy Air,Envoy Air: MQ,MQ,20398,4095,BIL,"Billings, MT",DFW,"Dallas/Fort Worth, TX",13:19:00,13:47:00,28.0,16.0,14:03:00,17:25:00,15.0,1707,17:40:00,33.0,0.0,0.0,168.0,173.0,142.0,1081.0,1,2023,3,2023,3,827,843,1060,1045,16,15,2023,1,3,17
2023-04-14,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1976,CLT,"Charlotte, NC",LAX,"Los Angeles, CA",09:00:00,08:58:00,-2.0,14.0,09:12:00,10:45:00,9.0,1114,10:54:00,-20.0,0.0,0.0,314.0,296.0,273.0,2125.0,0,2023,4,2023,4,538,552,654,645,14,9,2023,2,4,14
2019-03-05,Republic Airline,Republic Airline: YX,YX,20452,3542,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",14:10:00,14:05:00,-5.0,8.0,14:13:00,14:26:00,8.0,1454,14:34:00,-20.0,0.0,0.0,104.0,89.0,73.0,413.0,0,2019,3,2019,3,845,853,874,866,8,8,2019,1,3,5
2023-07-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1931,GEG,"Spokane, WA",DEN,"Denver, CO",14:50:00,15:01:00,11.0,12.0,15:13:00,17:54:00,7.0,1805,18:01:00,-4.0,0.0,0.0,135.0,120.0,101.0,836.0,0,2023,7,2023,7,901,913,1081,1074,12,7,2023,3,7,12
2019-12-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2291,IAD,"Washington, DC",ATL,"Atlanta, GA",15:18:00,15:16:00,-2.0,11.0,15:27:00,16:45:00,8.0,1710,16:53:00,-17.0,0.0,0.0,112.0,97.0,78.0,534.0,0,2019,12,2019,12,916,927,1013,1005,11,8,2019,4,12,19
2022-05-18,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4036,MEM,"Memphis, TN",DEN,"Denver, CO",10:45:00,11:08:00,23.0,13.0,11:21:00,12:27:00,8.0,1215,12:35:00,20.0,0.0,0.0,150.0,147.0,126.0,872.0,1,2022,5,2022,5,668,681,755,747,13,8,2022,2,5,18
2023-08-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2317,RIC,"Richmond, VA",CLT,"Charlotte, NC",11:03:00,10:51:00,-12.0,31.0,11:22:00,12:08:00,9.0,1232,12:17:00,-15.0,0.0,0.0,89.0,86.0,46.0,257.0,0,2023,8,2023,8,651,682,737,728,31,9,2023,3,8,29
2021-12-19,Envoy Air,Envoy Air: MQ,MQ,20398,3948,SHV,"Shreveport, LA",DFW,"Dallas/Fort Worth, TX",16:05:00,16:36:00,31.0,9.0,16:45:00,17:22:00,14.0,1721,17:36:00,15.0,0.0,0.0,76.0,60.0,37.0,190.0,1,2021,12,2021,12,996,1005,1056,1042,9,14,2021,4,12,19
2021-05-07,Envoy Air,Envoy Air: MQ,MQ,20398,4212,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",10:26:00,10:20:00,-6.0,21.0,10:41:00,11:20:00,24.0,1130,11:44:00,14.0,0.0,0.0,64.0,84.0,39.0,134.0,1,2021,5,2021,5,620,641,704,680,21,24,2021,2,5,7
2019-02-26,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,709,CLT,"Charlotte, NC",ATL,"Atlanta, GA",22:28:00,22:51:00,23.0,11.0,23:02:00,23:46:00,6.0,2343,23:52:00,9.0,0.0,0.0,75.0,61.0,44.0,226.0,0,2019,2,2019,2,1371,1382,1432,1426,11,6,2019,1,2,26
2023-03-16,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5015,BFF,"Scottsbluff, NE",DEN,"Denver, CO",10:10:00,10:07:00,-3.0,14.0,10:21:00,11:05:00,9.0,1117,11:14:00,-3.0,0.0,0.0,67.0,67.0,44.0,150.0,0,2023,3,2023,3,607,621,674,665,14,9,2023,1,3,16
2023-01-27,Envoy Air,Envoy Air: MQ,MQ,20398,4218,GPT,"Gulfport/Biloxi, MS",DFW,"Dallas/Fort Worth, TX",07:25:00,07:21:00,-4.0,29.0,07:50:00,09:22:00,11.0,921,09:33:00,12.0,0.0,0.0,116.0,132.0,92.0,500.0,1,2023,1,2023,1,441,470,573,562,29,11,2023,1,1,27
2021-04-18,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1591,SJU,"San Juan, PR",DFW,"Dallas/Fort Worth, TX",07:05:00,07:03:00,-2.0,13.0,07:16:00,11:05:00,14.0,1140,11:19:00,-21.0,0.0,0.0,335.0,316.0,289.0,2165.0,0,2021,4,2021,4,423,436,679,665,13,14,2021,2,4,18
2022-08-02,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,821,CMH,"Columbus, OH",CLT,"Charlotte, NC",06:40:00,06:29:00,-11.0,13.0,06:42:00,07:38:00,9.0,809,07:47:00,-22.0,0.0,0.0,89.0,78.0,56.0,347.0,0,2022,8,2022,8,389,402,467,458,13,9,2022,3,8,2
2021-09-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1284,RSW,"Fort Myers, FL",DEN,"Denver, CO",06:30:00,06:23:00,-7.0,15.0,06:38:00,08:06:00,7.0,825,08:13:00,-12.0,0.0,0.0,235.0,230.0,208.0,1607.0,0,2021,9,2021,9,383,398,493,486,15,7,2021,3,9,12
2019-12-13,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2485,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",20:44:00,20:45:00,1.0,16.0,21:01:00,23:32:00,15.0,2352,23:47:00,-5.0,0.0,0.0,128.0,122.0,91.0,731.0,0,2019,12,2019,12,1245,1261,1427,1412,16,15,2019,4,12,13
2020-01-06,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1575,IND,"Indianapolis, IN",ATL,"Atlanta, GA",07:00:00,07:05:00,5.0,28.0,07:33:00,08:43:00,7.0,848,08:50:00,2.0,0.0,0.0,108.0,105.0,70.0,432.0,0,2020,1,2020,1,425,453,530,523,28,7,2020,1,1,6
2023-06-15,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2025,MCO,"Orlando, FL",ATL,"Atlanta, GA",08:00:00,08:01:00,1.0,19.0,08:20:00,09:25:00,10.0,938,09:35:00,-3.0,0.0,0.0,98.0,94.0,65.0,404.0,0,2023,6,2023,6,481,500,575,565,19,10,2023,2,6,15
2022-08-17,Horizon Air,Horizon Air: QX,QX,19687,2584,BOI,"Boise, ID",ORD,"Chicago, IL",10:35:00,10:32:00,-3.0,14.0,10:46:00,14:43:00,11.0,1507,14:54:00,-13.0,0.0,0.0,212.0,202.0,177.0,1437.0,0,2022,8,2022,8,632,646,894,883,14,11,2022,3,8,17
2021-12-10,Envoy Air,Envoy Air: MQ,MQ,20398,3502,CHS,"Charleston, SC",DFW,"Dallas/Fort Worth, TX",07:30:00,07:19:00,-11.0,12.0,07:31:00,09:06:00,11.0,938,09:17:00,-21.0,0.0,0.0,188.0,178.0,155.0,987.0,0,2021,12,2021,12,439,451,557,546,12,11,2021,4,12,10
2019-07-22,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2081,ORF,"Norfolk, VA",ORD,"Chicago, IL",10:00:00,10:41:00,41.0,17.0,10:58:00,11:48:00,15.0,1112,12:03:00,51.0,0.0,0.0,132.0,142.0,110.0,717.0,1,2019,7,2019,7,641,658,723,708,17,15,2019,3,7,22
2022-04-13,Envoy Air,Envoy Air: MQ,MQ,20398,4156,RIC,"Richmond, VA",ORD,"Chicago, IL",17:12:00,18:04:00,52.0,14.0,18:18:00,18:59:00,6.0,1837,19:05:00,28.0,0.0,0.0,145.0,121.0,101.0,642.0,1,2022,4,2022,4,1084,1098,1145,1139,14,6,2022,2,4,13
2022-01-31,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5973,BFL,"Bakersfield, CA",DEN,"Denver, CO",13:00:00,12:54:00,-6.0,10.0,13:04:00,15:56:00,5.0,1636,16:01:00,-35.0,0.0,0.0,156.0,127.0,112.0,845.0,0,2022,1,2022,1,774,784,961,956,10,5,2022,1,1,31
2020-03-16,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1116,MDW,"Chicago, IL",ATL,"Atlanta, GA",15:59:00,15:57:00,-2.0,9.0,16:06:00,18:31:00,6.0,1850,18:37:00,-13.0,0.0,0.0,111.0,100.0,85.0,591.0,0,2020,3,2020,3,957,966,1117,1111,9,6,2020,1,3,16
2021-03-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2604,CLT,"Charlotte, NC",LAX,"Los Angeles, CA",14:55:00,14:46:00,-9.0,8.0,14:54:00,16:30:00,3.0,1727,16:33:00,-54.0,0.0,0.0,332.0,287.0,276.0,2125.0,0,2021,3,2021,3,886,894,993,990,8,3,2021,1,3,6
2020-06-27,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3013,SBP,"San Luis Obispo, CA",DFW,"Dallas/Fort Worth, TX",06:00:00,05:52:00,-8.0,19.0,06:11:00,11:18:00,11.0,1124,11:29:00,5.0,0.0,0.0,204.0,217.0,187.0,1360.0,0,2020,6,2020,6,352,371,689,678,19,11,2020,2,6,27
2020-11-19,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,382,IAD,"Washington, DC",ORD,"Chicago, IL",07:00:00,06:53:00,-7.0,9.0,07:02:00,07:33:00,4.0,804,07:37:00,-27.0,0.0,0.0,124.0,104.0,91.0,588.0,0,2020,11,2020,11,413,422,457,453,9,4,2020,4,11,19
2023-08-02,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,503,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",16:28:00,16:51:00,23.0,39.0,17:30:00,17:56:00,13.0,1744,18:09:00,25.0,0.0,0.0,136.0,138.0,86.0,641.0,1,2023,8,2023,8,1011,1050,1089,1076,39,13,2023,3,8,2
2022-02-09,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,548,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",09:05:00,09:02:00,-3.0,13.0,09:15:00,16:04:00,5.0,1619,16:09:00,-10.0,0.0,0.0,254.0,247.0,229.0,1947.0,0,2022,2,2022,2,542,555,969,964,13,5,2022,1,2,9
2022-06-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2170,OMA,"Omaha, NE",CLT,"Charlotte, NC",06:16:00,06:15:00,-1.0,10.0,06:25:00,09:16:00,16.0,953,09:32:00,-21.0,0.0,0.0,157.0,137.0,111.0,913.0,0,2022,6,2022,6,375,385,572,556,10,16,2022,2,6,9
2022-11-03,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,912,MCO,"Orlando, FL",ORD,"Chicago, IL",16:40:00,16:37:00,-3.0,13.0,16:50:00,18:26:00,9.0,1843,18:35:00,-8.0,0.0,0.0,183.0,178.0,156.0,1005.0,0,2022,11,2022,11,997,1010,1115,1106,13,9,2022,4,11,3
2021-04-11,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2535,SAN,"San Diego, CA",DFW,"Dallas/Fort Worth, TX",06:28:00,06:22:00,-6.0,26.0,06:48:00,11:07:00,16.0,1134,11:23:00,-11.0,0.0,0.0,186.0,181.0,139.0,1171.0,0,2021,4,2021,4,382,408,683,667,26,16,2021,2,4,11
2021-03-01,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5612,MYR,"Myrtle Beach, SC",CLT,"Charlotte, NC",08:50:00,08:41:00,-9.0,32.0,09:13:00,09:55:00,7.0,1012,10:02:00,-10.0,0.0,0.0,82.0,81.0,42.0,157.0,0,2021,3,2021,3,521,553,602,595,32,7,2021,1,3,1
2022-11-10,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2425,IAH,"Houston, TX",ORD,"Chicago, IL",18:05:00,18:05:00,0.0,21.0,18:26:00,20:22:00,13.0,2047,20:35:00,-12.0,0.0,0.0,162.0,150.0,116.0,925.0,0,2022,11,2022,11,1085,1106,1235,1222,21,13,2022,4,11,10
2019-03-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1896,MCO,"Orlando, FL",CLT,"Charlotte, NC",06:47:00,06:39:00,-8.0,14.0,06:53:00,08:12:00,14.0,836,08:26:00,-10.0,0.0,0.0,109.0,107.0,79.0,468.0,0,2019,3,2019,3,399,413,506,492,14,14,2019,1,3,6
2019-06-12,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5838,BHM,"Birmingham, AL",DFW,"Dallas/Fort Worth, TX",19:29:00,19:22:00,-7.0,14.0,19:36:00,21:05:00,13.0,2126,21:18:00,-8.0,0.0,0.0,117.0,116.0,89.0,597.0,0,2019,6,2019,6,1162,1176,1278,1265,14,13,2019,2,6,12
2023-03-28,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4925,GRI,"Grand Island, NE",DFW,"Dallas/Fort Worth, TX",05:31:00,05:28:00,-3.0,29.0,05:57:00,07:32:00,12.0,726,07:44:00,18.0,0.0,0.0,115.0,136.0,95.0,561.0,1,2023,3,2023,3,328,357,464,452,29,12,2023,1,3,28
2022-10-10,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,770,SEA,"Seattle, WA",DEN,"Denver, CO",14:25:00,14:22:00,-3.0,18.0,14:40:00,17:48:00,5.0,1808,17:53:00,-15.0,0.0,0.0,163.0,151.0,128.0,1024.0,0,2022,10,2022,10,862,880,1073,1068,18,5,2022,4,10,10
2021-01-17,Envoy Air,Envoy Air: MQ,MQ,20398,4252,STL,"St. Louis, MO",ORD,"Chicago, IL",11:00:00,11:21:00,21.0,9.0,11:30:00,12:25:00,9.0,1226,12:34:00,8.0,0.0,0.0,86.0,73.0,55.0,258.0,0,2021,1,2021,1,681,690,754,745,9,9,2021,1,1,17
2019-04-24,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2411,TPA,"Tampa, FL",ATL,"Atlanta, GA",11:50:00,11:47:00,-3.0,14.0,12:01:00,13:10:00,14.0,1328,13:24:00,-4.0,0.0,0.0,98.0,97.0,69.0,406.0,0,2019,4,2019,4,707,721,804,790,14,14,2019,2,4,24
2019-05-13,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2602,CLT,"Charlotte, NC",DFW,"Dallas/Fort Worth, TX",19:46:00,19:59:00,13.0,15.0,20:14:00,21:27:00,8.0,2135,21:35:00,0.0,0.0,0.0,169.0,156.0,133.0,936.0,0,2019,5,2019,5,1199,1214,1295,1287,15,8,2019,2,5,13
2021-03-23,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,1011,MCO,"Orlando, FL",ATL,"Atlanta, GA",21:40:00,22:15:00,35.0,11.0,22:26:00,23:30:00,5.0,2320,23:35:00,15.0,0.0,0.0,100.0,80.0,64.0,404.0,1,2021,3,2021,3,1335,1346,1415,1410,11,5,2021,1,3,23
2021-08-12,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1245,BHM,"Birmingham, AL",ATL,"Atlanta, GA",05:30:00,05:54:00,24.0,10.0,06:04:00,07:37:00,5.0,734,07:42:00,8.0,0.0,0.0,64.0,48.0,33.0,134.0,0,2021,8,2021,8,354,364,462,457,10,5,2021,3,8,12
2019-05-10,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2511,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",10:47:00,11:09:00,22.0,15.0,11:24:00,15:58:00,9.0,1555,16:07:00,12.0,0.0,0.0,188.0,178.0,154.0,1235.0,1,2019,5,2019,5,669,684,967,958,15,9,2019,2,5,10
2023-07-21,JetBlue Airways,JetBlue Airways: B6,B6,20409,1079,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",14:50:00,16:00:00,70.0,36.0,16:36:00,17:18:00,6.0,1608,17:24:00,76.0,0.0,0.0,78.0,84.0,42.0,236.0,1,2023,7,2023,7,960,996,1044,1038,36,6,2023,3,7,21
2019-03-04,Envoy Air,Envoy Air: MQ,MQ,20398,3614,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",10:41:00,10:31:00,-10.0,10.0,10:41:00,11:41:00,11.0,1200,11:52:00,-8.0,0.0,0.0,79.0,81.0,60.0,280.0,0,2019,3,2019,3,631,641,712,701,10,11,2019,1,3,4
